"","RD_NO","DATEOCC","IUCR_CODE","Offense","CLASS","Motivations","CPD.Area","DISTRICT","Community","WARD","DISPOSITION","X","violent_crime"
"1","HV113109","1/10/2012 12:00:00 AM","1320","CRIMINAL DAMAGE: TO VEHICLE","B - RELIGION"," ANTI-JEWISH","Central",12,"WEST TOWN",32,"UNDETERMINED",NA,0
"2","HV117394","1/12/2012 12:00:00 AM","580","STALKING: SIMPLE","B - RELIGION","ANTI-MULTIPLE RELIGIONS/GROUPS","Central",18,"NEAR NORTH SIDE",32,"UNFOUNDED",NA,0
"3","HV119102","1/16/2012 12:00:00 AM","320","ROBBERY: STRONGARM - NO WEAPON","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","Central",9,"ARMOUR SQUARE",11,"UNFOUNDED",NA,1
"4","HV132973","1/26/2012 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",18,"LINCOLN PARK",43,"UNDETERMINED",NA,0
"5","HV139773","1/31/2012 12:00:00 AM","2825","OTHER OFFENSE: HARASSMENT BY TELEPHONE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",1,"NEAR SOUTH SIDE",2,"UNFOUNDED",NA,0
"6","HV140565","1/31/2012 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"7","HV155229","2/12/2012 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",18,"LINCOLN PARK",43,"UNDETERMINED",NA,0
"8","HV159486","2/15/2012 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","Central",12,"NEAR WEST SIDE",27,"UNDETERMINED",NA,1
"9","HV183392","3/4/2012 12:00:00 AM","560","ASSAULT: SIMPLE","B - RELIGION"," ANTI-JEWISH","Central",12,"WEST TOWN",26,"UNFOUNDED",NA,1
"10","HV188252","3/8/2012 12:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",14,"LOGAN SQUARE",35,"UNDETERMINED",NA,0
"11","HV195090","3/13/2012 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",14,"WEST TOWN",1,"BONA FIDE",NA,0
"12","HV204711","3/19/2012 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",20,"EDGEWATER",48,"UNDETERMINED",NA,1
"13","HV209288","3/18/2012 12:00:00 AM","495","BATTERY: AGGRAVATED OF A SENIOR CITIZEN","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",24,"ROGERS PARK",49,"UNDETERMINED",NA,1
"14","HV217606","3/28/2012 12:00:00 AM","1375","CRIMINAL DAMAGE: INSTITUTIONAL VANDALISM","B - RELIGION"," ANTI-JEWISH","North",19,"LAKE VIEW",46,"BONA FIDE",NA,0
